Date,Day,Day #,Start Time,End Time,Function Type,Post As/Signage,Set-Up Style,Expected,Projected,Function Space,Related Category,Location,Inventory Status,Negotiated Room Rental,Refresh,FN Last Updated By,FN Last Updated Date,Spacious Set,Flow,Noise,Do Not Move,Order Type,Order #,Line Item Sum,Meal Period,Do Not Post,Back Up Required,Backup Space,Room Area Sq Ft,Room Area Sq Mtr,Best Fit Suite Only,Guaranteed,Set,Actual,NAH Detail,Comments,Rental List Price,Function Contact,Function Status,Created Date,Last Updated Date,Exhibitor,Room,Diary Code,Special Conditions,Function Total
7/30/2018,Mon,1,6:00:00 PM,11:45:00 PM,Office,Office,Conference,10,9,Thomas Salon,,,Reserved,,N,Katie Last,5/22/2018 10:24,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
7/31/2018,Tue,2,6:00:00 AM,11:45:00 PM,Office,Office,Conference,10,9,Thomas Salon,,,Unreserved,,N,Katie Last,5/22/2018 10:00,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,Office,Office,Conference,10,9,Thomas Salon,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 1,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 2,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,Registration,Registration,Registration,5,4,DuPont Ballroom Foyer,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,Exhibits,Exhibits,Cocktail Rounds,8,7,DuPont Ballroom Foyer,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/1/2018,Wed,3,6:00:00 AM,11:45:00 PM,General Session,General Session,Crescent Rounds,110,99,DuPont Ballroom,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$1,364.96 "
8/1/2018,Wed,3,6:00:00 PM,9:00:00 PM,Dinner,Reception,Existing Set-Up,110,99,NEW Georgetown,,,Unreserved,,N,Katie Last,5/22/2018 10:20,N,N,N,N,,,N,Dinner,N,N,,0,0,N,,,,N,Causal style networking reception / Dinner.,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,"$6,962.18 "
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,Office,Office,Conference,10,9,Thomas Salon,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 1,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 2,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,Registration,Registration,Registration,5,4,DuPont Ballroom Foyer,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,Exhibits,Exhibits,Cocktail Rounds,8,7,DuPont Ballroom Foyer,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/2/2018,Thu,4,6:00:00 AM,11:45:00 PM,General Session,General Session,Crescent Rounds,110,99,DuPont Ballroom,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$1,364.96 "
8/2/2018,Thu,4,7:00:00 AM,8:00:00 AM,Continental Breakfast,Continental Breakfast,Rounds of 10,110,99,,,,,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Breakfast,N,,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$3,413.03 "
8/2/2018,Thu,4,12:00:00 PM,1:00:00 PM,Lunch Buffet,Lunch Buffet,Rounds of 10,110,99,,,,,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Lunch,N,,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$5,869.46 "
8/2/2018,Thu,4,6:00:00 PM,9:00:00 PM,Dinner,Reception,Cocktail Rounds,110,99,NEW West End,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Dinner,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$6,962.18 "
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,Office,Office,Conference,10,9,Thomas Salon,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,$0.00 
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 1,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,Breakout,Breakout,Crescent Rounds,35,31,District 2,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,Registration,Registration,Registration,5,4,DuPont Ballroom Foyer,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,Exhibits,Exhibits,Cocktail Rounds,8,7,DuPont Ballroom Foyer,,,Unreserved,,N,Katie Last,5/22/2018 10:21,N,N,N,N,,,N,Other,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:25,N,,,,$0.00 
8/3/2018,Fri,5,6:00:00 AM,4:00:00 PM,General Session,General Session,Crescent Rounds,110,99,DuPont Ballroom,,,Unreserved,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Meeting,N,N,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$1,364.96 "
8/3/2018,Fri,5,7:00:00 AM,8:00:00 AM,Continental Breakfast,Continental Breakfast,Rounds of 10,110,99,,,,,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Breakfast,N,,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$3,413.03 "
8/3/2018,Fri,5,12:00:00 PM,1:00:00 PM,Lunch Buffet,Lunch Buffet,Rounds of 10,110,99,,,,,,N,Siebel Administrator,5/22/2018 8:57,N,N,N,N,,,N,Lunch,N,,,0,0,N,,,,N,,,,Prospect,5/22/2018 8:57,5/22/2018 10:20,N,,,,"$5,869.46 "
